timestamp, ref_phi, ref_theta, ref_psi, ref_x, ref_y, ref_z
1728975648.787924952, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.789913419, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.791914612, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.793916280, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.795916485, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.798011626, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.799934963, 0.0109102, -0.0133085, 0, 10.8005, 6.02289, 6.26475
1728975648.801936665, 0.0109102, -0.0133085, 0, 10.7405, 5.9885, 6.23166
1728975648.803983949, 0.0109102, -0.0133085, 0, 10.7405, 5.9885, 6.23166
1728975648.805931042, 0.0109102, -0.0133085, 0, 10.7405, 5.9885, 6.23166
1728975648.807947279, 0.0109102, -0.0133085, 0, 10.7405, 5.9885, 6.23166
1728975648.810106473, 0.0109102, -0.0133085, 0, 10.7405, 5.9885, 6.23166
1728975648.811946617, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.813939022, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.815944812, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.817926980, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.819976037, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.821922020, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.823925039, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.825915465, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.827942347, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.829913929, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.831950478, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.833911917, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.835924788, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.837940651, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.840050146, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.842006206, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.843932053, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.845992654, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.847937894, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.849931267, 0.0167556, -0.0284405, 0, 10.7405, 5.9885, 6.23166
1728975648.851926151, 0.0167556, -0.0284405, 0, 10.68, 5.95376, 6.19838
1728975648.853972344, 0.0167556, -0.0284405, 0, 10.68, 5.95376, 6.19838
1728975648.855925578, 0.0167556, -0.0284405, 0, 10.68, 5.95376, 6.19838
1728975648.857945045, 0.0167556, -0.0284405, 0, 10.68, 5.95376, 6.19838
1728975648.859930718, 0.0167556, -0.0284405, 0, 10.68, 5.95376, 6.19838
1728975648.862023643, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.863952596, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.865962000, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.867926911, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.869953949, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.871972476, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.873927018, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.875972831, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.877964173, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.879936776, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.881927487, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.883955977, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.885929948, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.887943989, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.889942147, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.891930378, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.893921581, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.895922794, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.897917837, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.899927179, 0.013655, -0.0207884, 0, 10.68, 5.95376, 6.19838
1728975648.901924451, 0.013655, -0.0207884, 0, 10.6189, 5.91869, 6.1649
1728975648.903913882, 0.013655, -0.0207884, 0, 10.6189, 5.91869, 6.1649
